pais,palabra,frecuencia,sentimiento
Portugal,bargain,10,positivo
Portugal,wish,74,positivo
Portugal,charges,3,negativo
Portugal,generously,2,positivo
Portugal,unfortunately,118,negativo
Portugal,luck,22,positivo
Portugal,hard,104,negativo
Portugal,annoying,120,negativo
Portugal,underestimated,1,negativo
Portugal,worried,26,negativo
Portugal,exhausted,6,negativo
Portugal,happily,23,positivo
Portugal,laugh,2,positivo
Portugal,aching,1,negativo
Portugal,relaxing,126,positivo
Portugal,glad,27,positivo
Portugal,kindly,49,positivo
Portugal,chilling,73,negativo
Portugal,congratulations,10,positivo
Portugal,comfortably,47,positivo
Portugal,advantageous,1,positivo
Portugal,dirty,67,negativo
Portugal,excited,12,positivo
Portugal,messed,14,negativo
Portugal,awful,60,negativo
Portugal,disappointing,22,negativo
Portugal,restored,11,positivo
Portugal,fine,98,positivo
Portugal,congratulate,4,positivo
Portugal,cheers,34,positivo
Portugal,surprising,9,positivo
Portugal,solutions,5,positivo
Portugal,fan,66,positivo
Portugal,comforts,52,positivo
Portugal,support,27,positivo
Portugal,cutting,10,negativo
Portugal,bad,171,negativo
Portugal,ruin,5,negativo
Portugal,clear,96,positivo
Portugal,helping,44,positivo
Portugal,improving,6,positivo
Portugal,worry,32,negativo
Portugal,boring,9,negativo
Portugal,difficult,53,negativo
Portugal,nicer,34,positivo
Portugal,freezing,82,negativo
Portugal,chic,5,positivo
Portugal,helps,22,positivo
Portugal,sadly,51,negativo
Portugal,improve,27,positivo
Portugal,worth,274,positivo
Portugal,festival,26,positivo
Portugal,yeah,38,positivo
Portugal,awkward,19,negativo
Portugal,charm,101,positivo
Portugal,tough,27,negativo
Portugal,effective,13,positivo
Portugal,smart,34,positivo
Portugal,crying,2,negativo
Portugal,entertainment,5,positivo
Portugal,ticked,4,negativo
Portugal,lucky,60,positivo
Portugal,weird,30,negativo
Portugal,supported,4,positivo
Portugal,surprise,91,positivo
Portugal,treat,34,positivo
Portugal,sweets,15,positivo
Portugal,feeling,35,positivo
Portugal,grateful,58,positivo
Portugal,strange,11,negativo
Portugal,avoid,38,negativo
Portugal,limited,19,negativo
Portugal,accidentally,11,negativo
Portugal,rainy,30,negativo
Portugal,agree,9,positivo
Portugal,shared,119,positivo
Portugal,favorite,22,positivo
Portugal,warn,2,negativo
Portugal,worse,9,negativo
Portugal,complaints,16,negativo
Portugal,adorable,45,positivo
Portugal,crash,13,negativo
Portugal,drunk,7,negativo
Portugal,warmers,2,positivo
Portugal,worrying,9,negativo
Portugal,parties,5,positivo
Portugal,definite,11,positivo
Portugal,frustrating,3,negativo
Portugal,misunderstanding,5,negativo
Portugal,pay,59,negativo
Portugal,screaming,1,negativo
Portugal,saved,19,positivo
Portugal,complaint,10,negativo
Portugal,appreciate,32,positivo
Portugal,hesitation,81,negativo
Portugal,join,26,positivo
Portugal,neat,22,positivo
Portugal,delights,1,positivo
Portugal,disturbed,6,negativo
Portugal,disappointed,49,negativo
Portugal,weakness,1,negativo
Portugal,champagne,1,positivo
Portugal,sweet,43,positivo
Portugal,cutest,5,positivo
Portugal,thankfully,14,positivo
Portugal,reaching,4,positivo
Portugal,celebrate,9,positivo
Portugal,festive,3,positivo
Portugal,active,5,positivo
Portugal,drown,2,negativo
Portugal,forget,48,negativo
Portugal,freeze,8,positivo
Portugal,restless,1,negativo
Portugal,pressure,32,negativo
Portugal,weak,14,negativo
Portugal,flexibility,16,positivo
Portugal,positive,29,positivo
Portugal,improved,25,positivo
Portugal,arguing,1,negativo
Portugal,approved,2,positivo
Portugal,inconvenience,4,negativo
Portugal,carefully,10,positivo
Portugal,popular,22,positivo
