pais,palabra,frecuencia,sentimiento
España,peacefully,7,positivo
España,disappointment,12,negativo
España,smiling,17,positivo
España,solution,21,positivo
España,comforter,1,positivo
España,safety,16,positivo
España,scary,13,negativo
España,relax,123,positivo
España,opportunity,17,positivo
España,pleasantly,11,positivo
España,surprises,18,positivo
España,low,37,negativo
España,comforters,2,positivo
España,enthusiasm,4,positivo
España,friendliness,13,positivo
España,fyi,6,positivo
España,truth,16,positivo
España,rude,17,negativo
España,barrier,20,negativo
España,accidentally,11,negativo
España,miss,73,negativo
España,yeah,19,positivo
España,dangerous,20,negativo
España,wonderfully,11,positivo
España,cheers,28,positivo
España,prettier,5,positivo
España,comfortably,64,positivo
España,acceptable,7,positivo
España,inviting,14,positivo
España,inadequate,1,negativo
España,blame,4,negativo
España,doubtful,1,negativo
España,refuse,3,negativo
España,guarantee,4,positivo
España,acceptability,1,positivo
España,improved,16,positivo
España,thrilled,12,positivo
España,fave,8,positivo
España,lifesaver,13,positivo
España,impressed,21,positivo
España,agree,10,positivo
España,overlooked,4,negativo
España,fabulous,23,positivo
España,giving,179,positivo
España,hesitations,1,negativo
España,allow,4,positivo
España,isolation,3,negativo
España,happier,14,positivo
España,successful,8,positivo
España,definite,10,positivo
España,hope,200,positivo
España,block,169,negativo
España,delight,11,positivo
España,grateful,47,positivo
España,thoughtfully,5,positivo
España,certainly,21,positivo
España,gloomy,3,negativo
España,delightful,6,positivo
España,special,94,positivo
España,beaten,13,negativo
España,holiday,70,positivo
España,captivated,1,positivo
España,easier,54,positivo
España,truly,90,positivo
España,cared,6,positivo
España,loving,10,positivo
España,genial,3,positivo
España,chic,13,positivo
España,cares,17,positivo
España,terrific,7,positivo
España,solutions,6,positivo
España,beauty,6,positivo
España,brilliant,44,positivo
España,delicious,68,positivo
España,responsible,13,positivo
España,hopefully,37,positivo
España,dynamic,2,positivo
España,festive,1,positivo
España,sunshine,37,positivo
España,charm,44,positivo
España,lovers,9,positivo
España,awkward,20,negativo
España,complain,48,negativo
España,gracious,21,positivo
España,weak,24,negativo
España,matter,38,positivo
España,dearest,1,positivo
España,kisses,4,positivo
España,original,24,positivo
España,creative,4,positivo
España,illness,1,negativo
España,considerate,23,positivo
España,risk,6,negativo
España,funny,30,positivo
España,inspiring,11,positivo
España,warmly,87,positivo
España,adventures,8,positivo
España,envy,3,negativo
España,worried,42,negativo
España,wrong,38,negativo
España,caring,54,positivo
España,reluctant,2,negativo
España,grimy,2,negativo
España,glad,40,positivo
España,charges,7,negativo
España,disturbance,2,negativo
España,complained,11,negativo
España,security,32,positivo
España,forget,35,negativo
España,cut,9,negativo
España,optimal,2,positivo
España,clearly,46,positivo
España,lying,3,negativo
España,relaxing,78,positivo
España,importantly,26,positivo
España,joking,1,positivo
España,satisfied,28,positivo
España,blind,8,negativo
España,waste,7,negativo
España,gently,2,positivo
España,inconvenience,19,negativo
España,wishes,8,positivo
España,yummy,21,positivo
España,injury,2,negativo
España,lowdown,5,negativo
España,reached,30,positivo
España,nicest,26,positivo
España,happily,17,positivo
España,wise,20,positivo
España,dreadful,1,negativo
España,inspired,6,positivo
España,mistake,13,negativo
España,alive,5,positivo
España,hide,2,negativo
España,bothered,26,negativo
España,classy,4,positivo
España,sick,24,negativo
España,emergency,7,negativo
España,thoughtful,93,positivo
España,healthy,6,positivo
España,struggle,9,negativo
España,craziness,16,negativo
España,joyful,2,positivo
España,greet,49,positivo
España,solid,8,positivo
España,lucky,46,positivo
España,disappoint,8,negativo
España,creating,1,positivo
España,complimentary,5,positivo
España,improvement,6,positivo
España,treat,27,positivo
España,hesitate,91,negativo
España,hilarious,1,positivo
España,stunning,51,positivo
España,natural,49,positivo
España,respected,10,positivo
España,handsome,8,positivo
España,surprise,41,positivo
España,escape,15,positivo
España,sweetly,1,positivo
España,faulty,2,negativo
España,respects,9,positivo
España,positives,2,positivo
España,relief,10,positivo
España,alone,43,negativo
España,nervous,11,negativo
España,excited,20,positivo
España,fab,39,positivo
España,isolated,8,negativo
España,justice,23,positivo
España,forgotten,5,negativo
España,favorites,6,positivo
España,hoped,21,positivo
España,annoyances,2,negativo
España,nicer,41,positivo
España,safely,12,positivo
España,effective,9,positivo
España,tranquility,3,positivo
España,fiesta,3,positivo
España,smiley,7,positivo
España,asset,2,positivo
España,privileged,2,positivo
España,lame,3,negativo
España,drag,5,negativo
España,fired,1,negativo
España,exclusive,8,positivo
España,suck,1,negativo
España,favor,10,positivo
España,suffer,2,negativo
España,severe,1,negativo
España,highlight,29,positivo
España,doubts,13,negativo
España,trembling,1,negativo
España,blessing,8,positivo
España,cheerful,17,positivo
España,freely,11,positivo
España,peculiarity,1,positivo
España,enjoyable,40,positivo
España,interested,20,positivo
España,nasty,6,negativo
España,mess,20,negativo
España,dirt,7,negativo
España,horrible,8,negativo
España,pain,23,negativo
España,screaming,4,negativo
España,hell,2,negativo
España,nerves,2,negativo
España,stall,5,negativo
España,affectionate,2,positivo
España,drunk,7,negativo
España,playful,5,positivo
España,disadvantages,4,negativo
España,hugs,11,positivo
España,hate,4,negativo
España,stopping,2,negativo
España,admire,4,positivo
España,hug,4,positivo
España,ease,25,positivo
España,opportunities,4,positivo
España,lover,1,positivo
España,talented,2,positivo
España,luck,16,positivo
España,holidays,19,positivo
España,hopes,3,positivo
España,bothers,4,negativo
España,fear,7,negativo
España,crime,4,negativo
España,please,42,positivo
España,hoping,7,positivo
España,winner,4,positivo
España,risking,1,negativo
España,disasters,1,negativo
España,tranquil,4,positivo
España,fascinating,4,positivo
España,sweetheart,22,positivo
España,unacceptable,5,negativo
España,yes,25,positivo
España,competitive,2,positivo
España,compliment,1,positivo
España,frustrating,4,negativo
España,surprisingly,15,positivo
España,profitable,2,positivo
España,smart,26,positivo
España,admit,5,positivo
España,playing,16,positivo
España,scaring,1,negativo
España,festival,32,positivo
España,disturbances,3,negativo
España,powerful,9,positivo
España,exhaust,3,negativo
España,greeting,8,positivo
España,hail,9,positivo
España,deprived,1,negativo
España,worse,14,negativo
España,ignored,6,negativo
España,impersonal,9,negativo
España,unfriendly,6,negativo
España,happiness,4,positivo
España,struggled,7,negativo
España,bothering,4,negativo
España,promised,30,positivo
España,irresponsible,2,negativo
España,drop,51,negativo
España,discounted,2,positivo
España,trick,8,negativo
España,poison,1,negativo
España,extend,3,positivo
España,stink,3,negativo
España,promise,9,positivo
España,pleased,10,positivo
España,wow,29,positivo
